Inscricao;CPF_CNPJ;Nome;Nome_Cidade;2018(R$);Variacao_1;2019(R$);Variacao_2;2020(R$);DDD_DECLAN;Telefone_DECLAN;DDD_Fax_DECLAN;Fax_DECLAN;Email_DECLAN;Nome_Representante_DECLAN;DDD_Representante_DECLAN;Telefone_Representante_DECLAN;Contador_DECLAN;DDD_Contador_DECLAN;Telefone_Contador_DECLAN;Endereco_Obrigados;Bairro_Obrigados;Cidade_Obrigados;Nome_Cidade_Obrigados;UF_Obrigados;Tipo_Logradouro_Municipio;Endereco_Municipio;Numero_Municipio;Complemento_Municipio;Bairro_Municipio;Cidade_Municipio;Nome_Cidade_Municipio;UF_Municipio;CEP_Municipio;Email_Municipio;Telefone_Municipio;Nome_Contador;Tipo_Logradouro_Contador;Endereco_Contador;Numero_Contador;Complemento_Contador;Bairro_Contador;Cidade_Contador;Nome_Cidade_Contador;UF_Contador;CEP_Contador;Email_Contador;Telefone_Contador
85874047;="67405936000173";PEUGEOT CITROEN DO BRASIL AUTOMOVEIS LTDA;Porto Real;2888226548,88;-626599849,94;2261626698,94;-307258339,39;1954368359,55;011;98130789;;;cvenfiscal@stellantis.com;LEONARDO ALVES FERNANDES DE OLIVEIRA;031;97161349;LEONARDO ALVES FERNANDES DE OLIVEIRA;031;97161349;AVN RENATO MONTEIRO 6901 E 6200- PARTE.;POLO URBO AGRO INDUSTRIAL;59;Porto Real;RJ;;;;;;59;Porto Real;RJ;;;;;;;;;;;;;;;
77015523;="03571044000160";MA AUTOMOTIVE BRASIL LTDA;Porto Real;193086998,23;-44239124,66;148847873,57;-37056301,86;111791571,71;021;34862953;;;carla.azevedo@br.ma.gruppocln.com;VICTOR HUGO MANDRINI;24;81529000;PHILIPE GUAIATO FERREIRA;24;92247076;AVN RENATO MONTEIRO 6200 A/ TECNOPOLO I;Polo Urbo Agro Industrial;59;Porto Real;RJ;;;;;;59;Porto Real;RJ;;;;;;;;;;;;;;;
85874314;="03094658000440";GEFCO LOGISTICA DO BRASIL LTDA;Porto Real;92681954,47;-2851837,33;89830117,14;-33691596,14;56138521;021;24385039;;;thayna.dias@cevalogistics.com;MILTON TADEU PIMENTA JUNIOR;21;75747375;EDENOR SANTIAGO MAZAIA;21;75747375;AVN RENATO MONTEIRO 6901 PARTE;Polo Urbo Agroindustrial;59;Porto Real;RJ;;;;;;59;Porto Real;RJ;;;;;;;;;;;;;;;
84781193;="01695370000153";CEG RIO S/A;Porto Real;90908536,41;13696677,18;104605213,59;-21897447,88;82707765,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87403246;="32492373003996";TRANSPORTE EXCELSIOR LTDA;Porto Real;33509680,74;-289725,759999998;33219954,98;-15349233,94;17870721,04;024;33433487;;;contabilidade@transporteexcelsior.com.br;ROG?RIO LOUREIRO;24;33433487;DULCINEIDE MAN?O;24;33433487;AVN RENATO MONTEIRO 7777 PARTE;POLO INDUSTRIAL;59;Porto Real;RJ;;;;;;59;Porto Real;RJ;;;;;;;;;;;;;;;
79762172;="01178298001754";FAURECIA AUTOMOTIVE DO BRASIL LTDA;Porto Real;77885781,28;-42457674,38;35428106,9;-12530173,36;22897933,54;024;32089500;;;DL-BR-CUR-TRIBUTARIO@FAURECIA.COM;FABRICIO SBARDELOTO;041;40098821;CLAUDIA PLONCOSKI S. LIMA;041;40098821;AVN RENATO MONTEIRO 6200 COND.TECNOPOLO 1 LOTE B ALA ESQUERD;POLO URBO AGRO INDUSTRIAL;59;Porto Real;RJ;;;;;;59;Porto Real;RJ;;;;;;;;;;;;;;;
85874500;="60395589000287";BRAZUL TRANSPORTE DE VEICULOS LTDA;Porto Real;27566538,55;1387874,04;28954412,59;-11719575,43;17234837,16;031;30719583;;;csc.fiscal@sada.com.br;VITTORIO MEDIOLI;31;30710700;Denys Douglas Gon?alves;31;30710700;AVN RENATO MONTEIRO 4800 ;POLO INDUSTRIAL;59;Porto Real;RJ;;;;;;59;Porto Real;RJ;;;;;;;;;;;;;;;
79632511;="02160284000613";IPA - INDUSTRIA DE PRODUTOS AUTOMOTIVOS RGS LTDA;Porto Real;22892086,2;-11754381,16;11137705,04;-11137705,04;0;012;36549019;;;servicon.contabil@gmail.com;MARCELO  DE OLIVEIRA TELES;24;21093920;PAULO SERGIO DE SOUZA;24;21093920;AVN RENATO MONTEIRO 5570 PREDIO MAF ,ULTIMO PAVIMENTO;POLO AGRO INDUSTRIAL;59;Porto Real;RJ;;;;;;59;Porto Real;RJ;;;;;;;;;;;;;;;
79220035;="12744404000179";MUNDIAL DISTRIBUIDORA DE PRODUTOS DE CONSUMO LTDA;Porto Real;11372724,14;-854992,630000001;10517731,51;-10517731,51;0;051;33585012;;;;JULIO CESAR CAMARA;011;35241503;IVANES GRISON SOUTO;051;34325347;;;75;São João de Meriti;RJ;;;;;;75;São João de Meriti;RJ;;;;;;;;;;;;;;;
81592578;="61190096000354";EUROFARMA LABORATORIOS S/A;Porto Real;0;21861411,42;21861411,42;-8677034,07;13184377,35;011;50908423;;;compliance.tributario@eurofarma.com;MAURIZIO BILLI;11;50908600;Carmelita Bittencourt da Silva Esteves;11;50908600;ROD PRESIDENTE DUTRA S/N :KM 296,LOTE:2A 1D;BULHOES VELHO;59;Porto Real;RJ;;;;;;59;Porto Real;RJ;;;;;;;;;;;;;;;
