Inscricao;CPF_CNPJ;Nome;Nome_Cidade;2019(R$);Variacao_1;2020(R$);Variacao_2;2021(R$);DDD_DECLAN;Telefone_DECLAN;DDD_Fax_DECLAN;Fax_DECLAN;Email_DECLAN;Nome_Representante_DECLAN;DDD_Representante_DECLAN;Telefone_Representante_DECLAN;Contador_DECLAN;DDD_Contador_DECLAN;Telefone_Contador_DECLAN;Endereco_Obrigados;Bairro_Obrigados;Cidade_Obrigados;Nome_Cidade_Obrigados;UF_Obrigados;Tipo_Logradouro_Municipio;Endereco_Municipio;Numero_Municipio;Complemento_Municipio;Bairro_Municipio;Cidade_Municipio;Nome_Cidade_Municipio;UF_Municipio;CEP_Municipio;Email_Municipio;Telefone_Municipio;Nome_Contador;Tipo_Logradouro_Contador;Endereco_Contador;Numero_Contador;Complemento_Contador;Bairro_Contador;Cidade_Contador;Nome_Cidade_Contador;UF_Contador;CEP_Contador;Email_Contador;Telefone_Contador
87030946;="91830836004085";OLFAR S/A - ALIMENTO E ENERGIA;Porto Real;9820714,17;27191328,33;37012042,5;-37012042,5;0;024;33535101;;;;JOSE CARLOS WESCHENFELDER;54;21062600;S?nia Ramos Garcia Puerari;54;21062600;AVN DOM PEDRO II 4040 AREA B1;VILLAGE PORTO REAL;59;Porto Real;RJ;;;;;;59;Porto Real;RJ;;;;;;;;;;;;;;;
80046561;="33050071000158";AMPLA ENERGIA E SERVICOS S.A.;Porto Real;61409473,33;-4750712,14;56658761,19;-15975693,07;40683068,12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77557741;="05660403000180";QUIMREAL - REAL INDUSTRIA QUIMICA LTDA;Porto Real;9301334,82;2093230,06;11394564,88;-3713034,81;7681530,07;024;33815116;;;fiscal.dec@edvaldocontabilidade.cnt.br;ARTHUR JARDIM ROCHA;24;33233497;EDVALDO RIGUEIRA RODRIGUES;24;33233497;AVN H R PRITICHARD 210 ;BULHOES;59;Porto Real;RJ;;;;;;59;Porto Real;RJ;;;;;;;;;;;;;;;
79145149;="12392614000145";L A MARASSI MERCEARIA LTDA;Porto Real;2816451;472244,32;3288695,32;-2222777,95;1065917,37;;;;;fical@focuscontabil.com;CINTHIA MEDICE MARASSI NUNES;021;38564273;Alcir Batista Guimar?es Filho;21;38564273;RUA 17 169 ;FREITAS SOARES;59;Porto Real;RJ;;;;;;59;Porto Real;RJ;;;;;;;;;;;;;;;
78738707;="10774640000102";GULI PIONEIRO COMERCIO DE PRODUTOS ALIMENTICIOS LTDA ME;Porto Real;5978500,94;-481219,71;5497281,23;-1662120,82;3835160,41;;;;;eloizefiscalpaschoal@gmail.com;MARIA DE FATIMA CAMPBELL FRANCO;024;33230706;LUCIA MARIA DE SOUZA DINIZ;024;33230706;AVN DOM PEDRO II 593 ;CENTRO;59;Porto Real;RJ;;;;;;59;Porto Real;RJ;;;;;;;;;;;;;;;
79757055;="20468310010024";TORA TRANSPORTES INDUSTRIAIS LTDA;Porto Real;17062683,22;-2553419,04;14509264,18;-1468673,37;13040590,81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87172856;="02709439000628";BNLOG TRANSPORTES E LOGISTICA LTDA;Porto Real;4086885,8;-3012821,8;1074064;-1074064;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87403246;="32492373003996";TRANSPORTE EXCELSIOR LTDA;Porto Real;33219954,98;-15349233,94;17870721,04;-1047452,07;16823268,97;024;33433487;;;contabilidade@transporteexcelsior.com.br;ROG?RIO LOUREIRO;24;33433487;DULCINEIDE MAN?O;24;33433487;AVN RENATO MONTEIRO 7777 PARTE;POLO INDUSTRIAL;59;Porto Real;RJ;;;;;;59;Porto Real;RJ;;;;;;;;;;;;;;;
86833905;="04968037000169";DACUNHA NORDESTE TRANSPORTES LTDA;Porto Real;2540939,55;-801451,74;1739487,81;-927118,06;812369,75;031;30719583;;;csc.fiscal@sada.com.br;VITTORIO MEDIOLI;31;30710700;Denys Douglas Gon?alves;31;30710700;AVN RENATO MONTEIRO S/N KM 4800 SALA 5;Polo Industrial;59;Porto Real;RJ;;;;;;59;Porto Real;RJ;;;;;;;;;;;;;;;
87023460;="03469066000385";TELECARGO ENCOMENDAS EXPRESSAS LTDA;Porto Real;495983,57;630332,03;1126315,6;-833891,38;292424,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85297848;="02667694000221";TELMEX DO BRASIL S/A;Porto Real;730307,78;504434,13;1234741,91;-793464,45;441277,46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86092085;="02421421000111";TIM S.A.;Porto Real;12915171,04;-344745,159999998;12570425,88;-751464,040000001;11818961,84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
85994964;="01417222000509";MRS LOGISTICA S/A;Porto Real;1965672,07;2048301,11;4013973,18;-623956,4;3390016,78;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81680469;="33000118000179";TELEMAR NORTE LESTE S/A EM RECUPERACAO JUDICIAL;Porto Real;1031198,81;-170209,75;860989,06;-620654,37;240334,69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86635577;="82270711001627";CARGOLIFT LOGISTICA S/A;Porto Real;1471270,16;-893910,15;577360,01;-577360,01;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
86682303;="20094487000126";M APARECIDA OLIVEIRA TRANSPORTES E LOGISTICA ME;Porto Real;6616643,19;-6052468,03;564175,16;-564175,16;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79249386;="04070247000135";VIXGAS EIRELI;Porto Real;428146,4;-46699,4;381447;-381447;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83699205;="61139432000253";TRANSPORTES DELLA VOLPE S A COMERCIO E INDUSTRIA;Porto Real;86161,32;388337,53;474498,85;-377975,48;96523,37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87248992;="11423942000280";TTJB TRANSPORTES E LOGISTICA EIRELI;Porto Real;746394,41;-372614,56;373779,85;-373779,85;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78002840;="40432544006269";CLARO S/A;Porto Real;2101002,63;22106,3100000001;2123108,94;-359268,1;1763840,84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77594540;="88301882001490";HENRIQUE STEFANI TRANSPORTE E LOGISTICA LTDA;Porto Real;146728,19;261340,87;408069,06;-338946,07;69122,99;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87426912;="07381852002240";JPS FARMA LIMITADA;Porto Real;1073476,57;-62607,78;1010868,79;-309542,97;701325,82;;;;;eduardo@rederetiro.com.br;POLLYANA DE OLIVEIRA SANTOS;24;33452200;Francis Muniz Rocha;24;33452200;AVN DOM PEDRO II 1070 LOJA FRACAO B;CENTRO;59;Porto Real;RJ;;;;;;59;Porto Real;RJ;;;;;;;;;;;;;;;
